family,family_name,converter_id,converter_name,public_label,display_order,speed_ratio,k_factor,torque_ratio,status,customer_visible
245,245,245-245-1a,245 1A,245 1A,11,0.9,217.7,0.977,published,true
245,245,245-245-1a,245 1A,245 1A,12,0.92,233.83,0.958,published,true
245,245,245-245-1a,245 1A,245 1A,13,0.95,278.83,0.907,published,true
245,245,245-245-1b,245 1B,245 1B,1,0.0,145.93,1.776,published,true
245,245,245-245-1b,245 1B,245 1B,2,0.1,148.65,1.712,published,true
245,245,245-245-1b,245 1B,245 1B,3,0.2,155.49,1.638,published,true
245,245,245-245-1b,245 1B,245 1B,4,0.3,161.98,1.564,published,true
245,245,245-245-1b,245 1B,245 1B,5,0.4,169.12,1.487,published,true
245,245,245-245-1b,245 1B,245 1B,6,0.5,178.55,1.4,published,true
245,245,245-245-1b,245 1B,245 1B,7,0.6,189.3,1.308,published,true
245,245,245-245-1b,245 1B,245 1B,8,0.7,203.36,1.212,published,true
245,245,245-245-1b,245 1B,245 1B,9,0.8,220.49,1.12,published,true
245,245,245-245-1b,245 1B,245 1B,10,0.85,231.38,1.042,published,true
245,245,245-245-1b,245 1B,245 1B,11,0.9,246.36,0.998,published,true
245,245,245-245-1b,245 1B,245 1B,12,0.92,254.77,0.972,published,true
245,245,245-245-1b,245 1B,245 1B,13,0.95,271.92,0.912,published,true
245,245,245-245-1c,245 1C,245 1C,1,0.0,198.83,1.72,published,true
245,245,245-245-1c,245 1C,245 1C,2,0.1,194.91,1.651,published,true
245,245,245-245-1c,245 1C,245 1C,3,0.2,190.52,1.556,published,true
245,245,245-245-1c,245 1C,245 1C,4,0.3,185.1,1.485,published,true
245,245,245-245-1c,245 1C,245 1C,5,0.4,182.53,1.405,published,true
245,245,245-245-1c,245 1C,245 1C,6,0.5,186.42,1.339,published,true
245,245,245-245-1c,245 1C,245 1C,7,0.6,193.41,1.279,published,true
245,245,245-245-1c,245 1C,245 1C,8,0.7,203.36,1.187,published,true
245,245,245-245-1c,245 1C,245 1C,9,0.8,224.65,1.1,published,true
245,245,245-245-1c,245 1C,245 1C,10,0.85,236.33,1.055,published,true
245,245,245-245-1c,245 1C,245 1C,11,0.9,250.78,1.011,published,true
245,245,245-245-1c,245 1C,245 1C,12,0.92,257.91,0.992,published,true
245,245,245-245-1c,245 1C,245 1C,13,0.95,281.44,0.943,published,true
245,245,245-245-1e,245 1E,245 1E,1,0.0,193.14,1.799,published,true
245,245,245-245-1e,245 1E,245 1E,2,0.1,193.8,1.74,published,true
245,245,245-245-1e,245 1E,245 1E,3,0.2,198.82,1.665,published,true
245,245,245-245-1e,245 1E,245 1E,4,0.3,198.55,1.555,published,true
245,245,245-245-1e,245 1E,245 1E,5,0.4,207.65,1.489,published,true
245,245,245-245-1e,245 1E,245 1E,6,0.5,216.34,1.39,published,true
